"Year","Neighborhood Tabulation Area NTA)","Neighborhood Tabulation Area (NTA) Name","Supply Gap (lbs.)","Food Insecure Percentage","Unemployment Rate","Vulnerable Population Score","Weighted Score","Rank"
"2025","BX0401","Concourse-Concourse Village","-102,142.62426294","26.29%","10.54%","0.57","5.13309591628","161"
"2025","BX0303","Crotona Park East","-333,492.64867191","27.24%","13.09%","0.55","5.62879423578","141"
"2025","MN1102","East Harlem (North)","527,499.52610583","26.68%","10.56%","0.47","5.90883983576","121"
"2025","BX0602","Tremont","-113,652.81465869","28.96%","12.14%","0.53","5.71196328534","134"
"2025","BK1204","Mapleton-Midwood (West)","451,455.520860002","16.87%","5.65%","0.61","5.7316081227","132"
"2025","BK0503","East New York-New Lots","-506,273.12917545","20.46%","11.66%","0.51","5.11041174894","162"
"2025","BX0101","Mott Haven-Port Morris","611,663.47133657","32.65%","14.43%","0.53","6.32951890259","74"
"2025","BX1202","Eastchester-Edenwald-Baychester","-113,911.46111921","16.96%","9.83%","0.55","5.54066298083","146"
"2025","SI0302","Great Kills-Eltingville","1,091,230.79111141","10.42%","5.33%","0.45","6.5179510219","62"
"2025","MN0801","Upper East Side-Lenox Hill-Roosevelt Island","1,488,620.7768","13.22%","4.10%","0.53","6.73965047747","49"
"2025","BX1201","Williamsbridge-Olinville","401,560.88541765","20.26%","9.61%","0.56","6.02041669769","106"
"2025","MN0604","East Midtown-Turtle Bay","1,000,801.33361314","12.74%","5.92%","0.51","6.52060697162","61"
"2025","BK1602","Brownsville","478,463.71579005","27.97%","13.96%","0.52","6.25906008173","81"
"2025","MN0502","Midtown-Times Square","144,714.999478159","15.79%","5.17%","0.48","5.46252733014","149"
"2025","BK0703","Sunset Park (Central)","1,305,476.96006984","21.66%","7.56%","0.76","7.18786325265","27"
"2025","BX0603","Belmont","369,930.98008093","30.58%","13.62%","0.57","6.40388300841","68"
"2025","BX0802","Kingsbridge-Marble Hill","1,149,186.17394613","24.96%","8.05%","0.55","7.10316863077","33"
"2025","BX1003","Pelham Bay-Country Club-City Island","1,022,815.339499","17.73%","8.21%","0.54","6.8081756539","45"
"2025","MN0901","Morningside Heights","183,281.64306546","20.97%","9.38%","0.47","5.9304253106","116"
"2025","BK0802","Crown Heights (North)","-23,547.3246267601","18.85%","8.65%","0.42","5.07894805152","163"
"2025","BX0302","Claremont Village-Claremont (East)","32,152.70121665","33.36%","14.23%","0.50","6.22782931459","84"
"2025","SI0303","Arden Heights-Rossville","600,174.677844235","8.97%","4.76%","0.46","6.04297510641","100"
"2025","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","488,191.29092672","15.41%","7.06%","0.44","5.7297058345","133"
"2025","BK1303","Brighton Beach","960,517.03151223","22.27%","5.10%","0.72","6.56392284567","58"
"2025","BX1004","Co-op City","779,628.418676589","13.86%","6.48%","0.52","6.303762079","77"
"2025","QN0602","Forest Hills","1,029,708.81093998","13.17%","4.33%","0.55","6.08351365384","96"
"2025","BK0702","Sunset Park (West)","808,625.08857096","18.01%","5.47%","0.57","6.28290676388","80"
"2025","MN0802","Upper East Side-Carnegie Hill","-267,239.2548257","9.99%","4.54%","0.57","4.77142011998","173"
"2025","QN0703","Bay Terrace-Clearview","617,762.51874879","12.42%","5.32%","0.57","6.11844453105","92"
"2025","MN0303","East Village","1,537,743.68842889","20.68%","5.55%","0.36","6.8545335246","41"
"2025","SI0203","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights","451,452.129284963","12.58%","5.19%","0.56","5.80431979609","128"
"2025","BK1502","Madison","910,007.411086672","16.34%","5.38%","0.59","6.29220932244","79"
"2025","BX0102","Melrose","-1,183,933.94646053","30.77%","15.21%","0.51","4.47628077367","178"
"2025","BK0204","Clinton Hill","35,166.374775185","13.50%","7.50%","0.38","5.77126226664","129"
"2025","BK1102","Bath Beach","942,381.436912158","16.30%","4.59%","0.61","6.33998068255","72"
"2025","BK0301","Bedford-Stuyvesant (West)","871,913.37333999","20.74%","7.71%","0.43","5.97941221554","111"
"2025","BX0801","Kingsbridge Heights-Van Cortlandt Village","1,444,845.00693503","22.53%","10.40%","0.59","7.63937179217","14"
"2025","MN0602","Gramercy","507,842.027125365","12.41%","3.03%","0.35","5.9568313992","112"
"2025","BK0102","Williamsburg","1,011,421.07761282","16.48%","6.94%","0.38","6.32693035939","75"
"2025","BK0402","Bushwick (East)","-40,369.7071064101","20.19%","7.88%","0.43","5.23432371661","157"
"2025","BX0702","Bedford Park","685,490.71897698","25.64%","13.55%","0.61","6.72406102426","50"
"2025","QN1104","Oakland Gardens-Hollis Hills","573,885.310129969","10.57%","4.56%","0.56","5.99553465326","109"
"2025","QN1401","Far Rockaway-Bayswater","486,153.45877199","19.74%","9.93%","0.58","6.11615671693","93"
"2025","QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","728,457.249977604","13.64%","6.91%","0.51","6.61739123024","55"
"2025","BK0101","Greenpoint","1,153,881.91747087","15.74%","7.42%","0.36","6.81171414263","44"
"2025","QN1101","Auburndale","896,800.029996218","12.17%","5.69%","0.60","6.45403505636","64"
"2025","QN0601","Rego Park","787,641.811453798","15.73%","5.84%","0.60","6.2957188288","78"
"2025","QN1003","Howard Beach-Lindenwood","778,373.528126481","12.96%","8.32%","0.54","6.56652083606","57"
"2025","BX0903","Castle Hill-Unionport","347,937.7932147","21.53%","8.76%","0.55","6.05232799733","99"
"2025","QN0202","Sunnyside","-105,498.50887842","15.91%","6.44%","0.58","5.343861523","154"
"2025","QN0702","Whitestone-Beechhurst","808,755.543930184","13.26%","8.71%","0.55","6.66190737136","54"
"2025","MN0803","Upper East Side-Yorkville","1,066,124.73854754","13.12%","4.76%","0.46","6.20816130946","88"
"2025","QN1103","Douglaston-Little Neck","493,759.051208256","10.68%","4.97%","0.54","5.93571103192","115"
"2025","QN1301","Glen Oaks-Floral Park-New Hyde Park","552,168.537574376","11.70%","3.87%","0.62","5.89707362936","122"
"2025","BK0104","East Williamsburg","1,224,484.03196005","21.34%","7.40%","0.42","6.83298362622","43"
"2025","BK1704","East Flatbush-Remsen Village","-979,114.69227613","18.82%","11.83%","0.54","4.73390906028","174"
"2025","MN0203","West Village","605,981.189659805","13.57%","7.41%","0.37","6.22559569875","85"
